FlightID(航班ID),Flight Date(航班日期),Flight,Departure Airport(起飞机场),Arrival Airport(降落机场),Planned Departure Time(计划起飞时间),Planned Arrival Time(计划降落时间),AircraftID(飞机ID),Aircraft Type(机型),Number of Passengers(旅客数),Number of Seats(座位数),Importance Factors(重要系数)
102331440,43159,8661,AIRPORT_57,AIRPORT_150,492,552,AC_126,TYPE_B,162,164,2
102319657,43159,8531,AIRPORT_57,AIRPORT_268,496,597,AC_91,TYPE_C,184,194,2
102388159,43159,8953,AIRPORT_107,AIRPORT_44,497,583,AC_127,TYPE_B,149,164,5
102372987,43159,8799,AIRPORT_247,AIRPORT_258,497,671,AC_130,TYPE_C,187,189,1
102344068,43159,8719,AIRPORT_57,AIRPORT_171,504,626,AC_61,TYPE_A,126,132,2
102374549,43159,8811,AIRPORT_57,AIRPORT_258,518,640,AC_22,TYPE_B,161,164,2
102318014,43159,8525,AIRPORT_57,AIRPORT_269,519,717,AC_145,TYPE_B,155,158,2
102329578,43159,8621,AIRPORT_150,AIRPORT_132,523,568,AC_96,TYPE_B,117,164,1
102368936,43159,8751,AIRPORT_57,AIRPORT_98,523,630,AC_111,TYPE_C,191,194,2
102397529,43159,8636,AIRPORT_132,AIRPORT_150,524,571,AC_23,TYPE_B,113,164,1
102312071,43159,8869,AIRPORT_57,AIRPORT_291,529,664,AC_106,TYPE_C,179,194,2
102318232,43159,8517,AIRPORT_119,AIRPORT_106,532,699,AC_24,TYPE_C,189,194,1
102326330,43159,8574,AIRPORT_132,AIRPORT_57,532,617,AC_123,TYPE_B,161,164,1
102333445,43159,8697,AIRPORT_57,AIRPORT_171,535,653,AC_29,TYPE_A,129,132,2
102379157,43159,8877,AIRPORT_126,AIRPORT_119,538,686,AC_113,TYPE_B,144,164,1
102379915,43159,8927,AIRPORT_57,AIRPORT_145,541,644,AC_134,TYPE_B,163,164,2
102345742,43159,8115,AIRPORT_57,AIRPORT_95,543,592,AC_30,TYPE_A,124,132,2
102335019,43159,8709,AIRPORT_150,AIRPORT_276,549,622,AC_7,TYPE_B,146,164,1
102396478,43159,8901,AIRPORT_269,AIRPORT_292,554,685,AC_56,TYPE_A,118,132,1
102337159,43159,8219,AIRPORT_283,AIRPORT_117,556,605,AC_78,TYPE_A,100,132,1
102364414,43159,8817,AIRPORT_167,AIRPORT_171,557,668,AC_63,TYPE_A,127,132,1
102381580,43159,8899,AIRPORT_159,AIRPORT_126,559,699,AC_9,TYPE_B,153,164,1
102392939,43159,8996,AIRPORT_106,AIRPORT_57,560,688,AC_112,TYPE_C,171,194,1
102357586,43159,8317,AIRPORT_44,AIRPORT_303,560,691,AC_89,TYPE_C,164,194,1
102319210,43159,8529,AIRPORT_107,AIRPORT_150,562,727,AC_143,TYPE_B,140,164,5
102359903,43159,8860,AIRPORT_199,AIRPORT_119,562,636,AC_11,TYPE_B,116,164,1
102320346,43159,8556,AIRPORT_174,AIRPORT_57,564,720,AC_160,TYPE_C,153,194,1
102317858,43159,8511,AIRPORT_295,AIRPORT_247,567,692,AC_85,TYPE_A,114,132,1
102315158,43159,8437,AIRPORT_290,AIRPORT_248,574,711,AC_58,TYPE_A,119,132,1
102328827,43159,8633,AIRPORT_50,AIRPORT_171,575,719,AC_77,TYPE_A,125,132,1
102342087,43159,8731,AIRPORT_57,AIRPORT_35,578,697,AC_25,TYPE_C,190,194,2
102332307,43159,8632,AIRPORT_107,AIRPORT_57,580,738,AC_158,TYPE_D,249,274,5
102375451,43159,8883,AIRPORT_57,AIRPORT_206,580,713,AC_125,TYPE_D,199,274,10
102360620,43159,8842,AIRPORT_269,AIRPORT_57,586,783,AC_124,TYPE_B,161,164,1
102397287,43159,8131,AIRPORT_290,AIRPORT_158,586,677,AC_98,TYPE_B,156,164,1
102333027,43159,8689,AIRPORT_258,AIRPORT_119,586,693,AC_13,TYPE_B,132,164,1
102321270,43159,8533,AIRPORT_167,AIRPORT_184,588,660,AC_81,TYPE_A,122,132,1
102328486,43159,8663,AIRPORT_50,AIRPORT_177,590,722,AC_83,TYPE_A,129,132,1
102330526,43159,8669,AIRPORT_57,AIRPORT_232,591,702,AC_92,TYPE_B,161,164,2
102390804,43159,8969,AIRPORT_57,AIRPORT_77,593,699,AC_155,TYPE_B,149,158,2
102362124,43159,8863,AIRPORT_290,AIRPORT_45,594,755,AC_149,TYPE_B,161,164,1
102380862,43159,8907,AIRPORT_108,AIRPORT_281,599,674,AC_84,TYPE_A,127,132,1
102396727,43159,8260,AIRPORT_250,AIRPORT_57,599,757,AC_154,TYPE_B,119,158,1
102328065,43159,8593,AIRPORT_50,AIRPORT_59,603,706,AC_161,TYPE_C,191,194,1
102361460,43159,8849,AIRPORT_268,AIRPORT_228,603,696,AC_72,TYPE_C,192,194,1
102339755,43159,8241,AIRPORT_145,AIRPORT_281,603,662,AC_80,TYPE_A,126,132,1
102392548,43159,8984,AIRPORT_192,AIRPORT_50,608,752,AC_117,TYPE_C,187,194,1
102328174,43159,8599,AIRPORT_95,AIRPORT_171,609,731,AC_79,TYPE_A,130,132,1
102330065,43159,8654,AIRPORT_64,AIRPORT_57,609,654,AC_55,TYPE_A,116,132,1
102361078,43159,8857,AIRPORT_44,AIRPORT_45,611,752,AC_103,TYPE_C,179,194,1
102330131,43159,8622,AIRPORT_132,AIRPORT_150,615,661,AC_96,TYPE_B,129,164,1
102393298,43159,8997,AIRPORT_108,AIRPORT_86,620,690,AC_144,TYPE_C,188,189,1
102319807,43159,8548,AIRPORT_206,AIRPORT_57,627,777,AC_104,TYPE_C,165,194,5
102342560,43159,8738,AIRPORT_35,AIRPORT_57,628,753,AC_36,TYPE_C,188,194,1
102316734,43159,8508,AIRPORT_258,AIRPORT_50,630,750,AC_8,TYPE_C,186,194,1
102356087,43159,8325,AIRPORT_119,AIRPORT_59,632,791,AC_99,TYPE_B,147,164,1
102389473,43159,8985,AIRPORT_283,AIRPORT_198,634,698,AC_100,TYPE_B,154,164,1
102336180,43159,8702,AIRPORT_248,AIRPORT_57,644,768,AC_119,TYPE_B,163,164,1
102317632,43159,8516,AIRPORT_50,AIRPORT_215,644,714,AC_76,TYPE_A,93,132,1
102397420,43159,8054,AIRPORT_44,AIRPORT_150,645,784,AC_15,TYPE_B,140,164,1
102337430,43159,8220,AIRPORT_117,AIRPORT_283,645,691,AC_78,TYPE_A,115,132,1
102338731,43159,8209,AIRPORT_313,AIRPORT_269,645,812,AC_94,TYPE_B,162,164,1
102338319,43159,8251,AIRPORT_50,AIRPORT_167,648,727,AC_18,TYPE_B,147,164,1
102367523,43159,8765,AIRPORT_247,AIRPORT_192,650,795,AC_141,TYPE_C,185,189,1
102384824,43159,8953,AIRPORT_44,AIRPORT_269,655,887,AC_127,TYPE_B,147,164,1
102367192,43159,8774,AIRPORT_196,AIRPORT_57,657,759,AC_82,TYPE_A,127,132,1
102384935,43159,8950,AIRPORT_285,AIRPORT_50,659,785,AC_116,TYPE_C,190,194,1
102311648,43159,8866,AIRPORT_192,AIRPORT_150,660,833,AC_114,TYPE_B,150,164,1
102388232,43159,8932,AIRPORT_281,AIRPORT_57,660,821,AC_121,TYPE_C,181,194,1
102351247,43159,8019,AIRPORT_57,AIRPORT_108,661,745,AC_105,TYPE_C,193,194,2
102336301,43159,8694,AIRPORT_177,AIRPORT_57,662,752,AC_28,TYPE_A,92,132,1
102392733,43159,8992,AIRPORT_107,AIRPORT_57,663,826,AC_90,TYPE_C,190,194,5
102382858,43159,8918,AIRPORT_291,AIRPORT_150,665,818,AC_102,TYPE_B,142,164,1
102345763,43159,8115,AIRPORT_95,AIRPORT_126,666,721,AC_30,TYPE_A,81,132,1
102366674,43159,8825,AIRPORT_281,AIRPORT_119,669,849,AC_120,TYPE_B,161,164,1
102368719,43159,8759,AIRPORT_247,AIRPORT_50,674,789,AC_19,TYPE_B,161,164,1
102316653,43159,8531,AIRPORT_268,AIRPORT_62,674,717,AC_91,TYPE_C,145,194,1
102345902,43159,8207,AIRPORT_258,AIRPORT_242,674,808,AC_5,TYPE_B,124,164,1
102312766,43159,8370,AIRPORT_263,AIRPORT_57,676,825,AC_138,TYPE_C,170,189,1
102388088,43159,8960,AIRPORT_145,AIRPORT_50,680,772,AC_140,TYPE_C,147,189,1
102380255,43159,8896,AIRPORT_57,AIRPORT_289,680,734,AC_73,TYPE_B,157,164,2
102365739,43159,8830,AIRPORT_206,AIRPORT_50,681,817,AC_10,TYPE_C,186,194,5
102363172,43159,8821,AIRPORT_50,AIRPORT_292,681,786,AC_21,TYPE_B,149,164,1
102321902,43159,8541,AIRPORT_268,AIRPORT_247,684,872,AC_157,TYPE_C,171,189,1
102331167,43159,8658,AIRPORT_171,AIRPORT_57,687,794,AC_50,TYPE_D,231,301,1
102386347,43159,8929,AIRPORT_108,AIRPORT_228,688,881,AC_115,TYPE_B,163,164,1
102360131,43159,8847,AIRPORT_44,AIRPORT_119,691,839,AC_6,TYPE_B,145,164,1
102357028,43159,8316,AIRPORT_57,AIRPORT_88,695,797,AC_122,TYPE_B,159,164,2
102346840,43159,8117,AIRPORT_150,AIRPORT_195,696,837,AC_126,TYPE_B,156,164,1
102335308,43159,8710,AIRPORT_276,AIRPORT_150,696,782,AC_7,TYPE_B,153,164,1
102355563,43159,8255,AIRPORT_63,AIRPORT_135,703,854,AC_60,TYPE_A,132,134,1
102354211,43159,8353,AIRPORT_263,AIRPORT_145,705,828,AC_66,TYPE_B,120,164,1
102384018,43159,8948,AIRPORT_258,AIRPORT_150,705,874,AC_20,TYPE_B,139,164,1
102379521,43159,8882,AIRPORT_206,AIRPORT_57,706,854,AC_152,TYPE_D,244,305,5
102376635,43159,8885,AIRPORT_57,AIRPORT_206,706,848,AC_35,TYPE_C,142,194,2
102326197,43159,8604,AIRPORT_177,AIRPORT_290,706,845,AC_75,TYPE_A,70,132,1
102382318,43159,8924,AIRPORT_195,AIRPORT_57,712,849,AC_162,TYPE_C,191,194,1
102336714,43159,8703,AIRPORT_57,AIRPORT_248,714,832,AC_139,TYPE_C,170,189,2
102389063,43159,8962,AIRPORT_214,AIRPORT_57,717,891,AC_108,TYPE_C,180,194,5
102360014,43159,8854,AIRPORT_293,AIRPORT_150,717,877,AC_150,TYPE_C,172,189,1
102384447,43159,8927,AIRPORT_145,AIRPORT_192,720,773,AC_134,TYPE_B,155,164,1
102368774,43159,8775,AIRPORT_184,AIRPORT_171,720,849,AC_74,TYPE_A,128,132,1
102329363,43159,8634,AIRPORT_171,AIRPORT_50,721,847,AC_29,TYPE_A,110,132,1
