"
Airport ID(机场ID)",TYPE_A,TYPE_B,TYPE_C,TYPE_D
AIRPORT_308,0,0,0,1
AIRPORT_34,0,0,0,1
AIRPORT_163,0,0,0,1
AIRPORT_212,0,0,0,1
AIRPORT_257,0,0,0,1
AIRPORT_314,0,0,0,1
AIRPORT_8,0,0,0,1
AIRPORT_80,0,0,0,1
AIRPORT_235,0,0,0,1
AIRPORT_144,1,1,1,0
AIRPORT_219,0,1,1,0
AIRPORT_261,1,1,1,1
AIRPORT_259,1,1,1,0
AIRPORT_197,0,0,0,1
AIRPORT_147,0,1,1,1
AIRPORT_49,0,1,1,0
AIRPORT_125,1,1,1,1
AIRPORT_91,1,1,1,0
AIRPORT_249,1,1,1,0
AIRPORT_48,0,1,0,0
AIRPORT_149,0,1,1,0
AIRPORT_41,0,0,1,0
AIRPORT_277,0,0,0,1
AIRPORT_166,0,0,0,1
AIRPORT_240,0,1,1,1
AIRPORT_151,1,1,1,0
AIRPORT_109,0,0,1,0
AIRPORT_276,0,1,0,0
AIRPORT_155,1,0,0,0
AIRPORT_185,0,0,0,1
AIRPORT_27,1,1,1,0
AIRPORT_53,1,1,1,0
AIRPORT_42,0,1,1,0
AIRPORT_270,1,1,1,0
AIRPORT_139,0,1,1,1
AIRPORT_110,1,1,1,1
AIRPORT_118,1,1,1,0
AIRPORT_58,1,1,1,0
AIRPORT_61,1,1,1,0
AIRPORT_100,0,1,1,0
AIRPORT_226,1,1,1,0
AIRPORT_181,0,1,0,0
AIRPORT_43,0,1,0,0
AIRPORT_131,0,1,0,0
AIRPORT_230,1,1,0,0
AIRPORT_183,0,0,0,1
AIRPORT_245,0,0,0,1
AIRPORT_206,1,1,1,1
AIRPORT_39,1,1,0,0
AIRPORT_77,1,1,1,0
AIRPORT_62,1,1,1,0
AIRPORT_101,1,1,1,0
AIRPORT_105,1,1,1,0
AIRPORT_111,1,1,1,0
AIRPORT_168,1,1,0,0
AIRPORT_199,1,1,1,0
AIRPORT_24,1,1,1,0
AIRPORT_232,1,1,1,0
