Departure Airport(起飞机场),Arrival Airport(降落机场),,,,
AIRPORT_107,AIRPORT_68,,,,
AIRPORT_68,AIRPORT_107,,,,
AIRPORT_192,AIRPORT_119,,,,
AIRPORT_119,AIRPORT_192,,,,
AIRPORT_192,AIRPORT_228,,,,
AIRPORT_228,AIRPORT_192,,,,
AIRPORT_50,AIRPORT_247,,,,
AIRPORT_247,AIRPORT_50,,,,
AIRPORT_57,AIRPORT_247,,,,
AIRPORT_247,AIRPORT_57,,,,
AIRPORT_295,AIRPORT_247,,,,
AIRPORT_247,AIRPORT_295,,,,
AIRPORT_184,AIRPORT_247,,,,
AIRPORT_247,AIRPORT_184,,,,
AIRPORT_158,AIRPORT_247,,,,
AIRPORT_247,AIRPORT_158,,,,
AIRPORT_290,AIRPORT_247,,,,
AIRPORT_247,AIRPORT_290,,,,
AIRPORT_247,AIRPORT_214,,,,
AIRPORT_247,AIRPORT_281,,,,
AIRPORT_247,AIRPORT_192,,,,
AIRPORT_247,AIRPORT_195,,,,
AIRPORT_247,AIRPORT_258,,,,
AIRPORT_247,AIRPORT_145,,,,
AIRPORT_247,AIRPORT_59,,,,
AIRPORT_281,AIRPORT_119,,,,
AIRPORT_119,AIRPORT_281,,,,
AIRPORT_119,AIRPORT_214,,,,
AIRPORT_214,AIRPORT_119,,,,
AIRPORT_107,AIRPORT_119,,,,
AIRPORT_119,AIRPORT_107,,,,
AIRPORT_290,AIRPORT_302,,,,
AIRPORT_302,AIRPORT_290,,,,
AIRPORT_119,AIRPORT_304,,,,
AIRPORT_304,AIRPORT_119,,,,
AIRPORT_267,AIRPORT_45,,,,
AIRPORT_45,AIRPORT_267,,,,
AIRPORT_50,AIRPORT_68,,,,
AIRPORT_68,AIRPORT_50,,,,
AIRPORT_168,AIRPORT_68,,,,
AIRPORT_68,AIRPORT_168,,,,
AIRPORT_109,AIRPORT_26,,,,
AIRPORT_109,AIRPORT_167,,,,
AIRPORT_109,AIRPORT_312,,,,
AIRPORT_57,AIRPORT_125,,,,
AIRPORT_125,AIRPORT_57,,,,
AIRPORT_119,AIRPORT_249,,,,
AIRPORT_249,AIRPORT_119,,,,
AIRPORT_81,AIRPORT_48,,,,
AIRPORT_48,AIRPORT_81,,,,
AIRPORT_81,AIRPORT_249,,,,
AIRPORT_249,AIRPORT_81,,,,
AIRPORT_57,AIRPORT_49,,,,
AIRPORT_49,AIRPORT_57,,,,
AIRPORT_50,AIRPORT_49,,,,
AIRPORT_49,AIRPORT_50,,,,
AIRPORT_50,AIRPORT_48,,,,
AIRPORT_48,AIRPORT_50,,,,
AIRPORT_50,AIRPORT_249,,,,
AIRPORT_249,AIRPORT_50,,,,
AIRPORT_50,AIRPORT_261,,,,
AIRPORT_261,AIRPORT_50,,,,
AIRPORT_150,AIRPORT_259,,,,
AIRPORT_259,AIRPORT_150,,,,
AIRPORT_57,AIRPORT_261,,,,
AIRPORT_261,AIRPORT_57,,,,
AIRPORT_247,AIRPORT_219,,,,
AIRPORT_219,AIRPORT_247,,,,
AIRPORT_196,AIRPORT_226,,,,
AIRPORT_226,AIRPORT_196,,,,
AIRPORT_57,AIRPORT_58,,,,
AIRPORT_58,AIRPORT_57,,,,
AIRPORT_247,AIRPORT_226,,,,
AIRPORT_226,AIRPORT_247,,,,
AIRPORT_50,AIRPORT_58,,,,
AIRPORT_58,AIRPORT_50,,,,
AIRPORT_35,AIRPORT_61,,,,
AIRPORT_61,AIRPORT_35,,,,
AIRPORT_150,AIRPORT_58,,,,
AIRPORT_58,AIRPORT_150,,,,
AIRPORT_50,AIRPORT_61,,,,
