"
Airport ID(机场ID)",TYPE_A,TYPE_B,TYPE_C,TYPE_D
AIRPORT_297,60,60,60,120
AIRPORT_308,60,60,60,120
AIRPORT_309,60,60,60,120
AIRPORT_243,60,60,60,120
AIRPORT_87,60,60,60,120
AIRPORT_99,60,60,60,120
AIRPORT_188,60,60,60,120
AIRPORT_266,60,60,60,120
AIRPORT_97,60,60,60,120
AIRPORT_288,60,60,60,120
AIRPORT_104,60,60,60,120
AIRPORT_12,60,60,60,120
AIRPORT_54,60,60,60,120
AIRPORT_202,60,60,60,120
AIRPORT_278,60,60,60,120
AIRPORT_16,60,60,60,120
AIRPORT_34,60,60,60,120
AIRPORT_120,60,60,60,120
AIRPORT_238,60,60,60,120
AIRPORT_162,60,60,60,120
AIRPORT_163,60,60,60,120
AIRPORT_200,60,60,60,120
AIRPORT_205,60,60,60,120
AIRPORT_208,60,60,60,120
AIRPORT_221,60,60,60,120
AIRPORT_223,60,60,60,120
AIRPORT_224,60,60,60,120
AIRPORT_231,60,60,60,120
AIRPORT_164,60,60,60,120
AIRPORT_256,60,60,60,120
AIRPORT_175,60,60,60,120
AIRPORT_40,60,60,60,120
AIRPORT_203,60,60,60,120
AIRPORT_212,60,60,60,120
AIRPORT_257,60,60,60,120
AIRPORT_274,60,60,60,120
AIRPORT_94,60,60,60,120
AIRPORT_314,60,60,60,120
AIRPORT_84,60,60,60,120
AIRPORT_4,60,60,60,120
AIRPORT_23,60,60,60,120
AIRPORT_8,60,60,60,120
AIRPORT_46,60,60,60,120
AIRPORT_201,60,60,60,120
AIRPORT_220,60,60,60,120
AIRPORT_11,60,60,60,120
AIRPORT_15,60,60,60,120
AIRPORT_20,60,60,60,120
AIRPORT_1,60,60,60,120
AIRPORT_80,60,60,60,120
AIRPORT_79,60,60,60,120
AIRPORT_229,60,60,60,120
AIRPORT_179,60,60,60,120
AIRPORT_72,60,60,60,120
AIRPORT_38,60,60,60,120
AIRPORT_85,60,60,60,120
AIRPORT_13,60,60,60,120
AIRPORT_244,60,60,60,120
AIRPORT_235,60,60,60,120
AIRPORT_93,60,60,60,120
AIRPORT_116,60,60,60,120
AIRPORT_182,60,60,60,120
AIRPORT_22,60,60,60,120
AIRPORT_144,60,60,60,120
AIRPORT_219,60,60,60,120
AIRPORT_261,60,60,60,120
AIRPORT_259,60,60,60,120
AIRPORT_197,60,60,60,120
AIRPORT_147,60,60,60,120
AIRPORT_56,60,60,60,120
AIRPORT_89,60,60,60,120
AIRPORT_194,60,60,60,120
AIRPORT_193,60,60,60,120
AIRPORT_115,60,60,60,120
AIRPORT_189,60,60,60,120
AIRPORT_305,60,60,60,120
AIRPORT_49,60,60,60,120
AIRPORT_213,60,60,60,120
AIRPORT_125,60,60,60,120
AIRPORT_91,60,60,60,120
AIRPORT_249,60,60,60,120
AIRPORT_48,60,60,60,120
AIRPORT_225,60,60,60,120
AIRPORT_55,60,60,60,120
AIRPORT_161,60,60,60,120
AIRPORT_186,60,60,60,120
AIRPORT_78,60,60,60,120
AIRPORT_149,60,60,60,120
AIRPORT_41,60,60,60,120
AIRPORT_262,60,60,60,120
AIRPORT_141,60,60,60,120
AIRPORT_146,60,60,60,120
AIRPORT_82,60,60,60,120
AIRPORT_90,60,60,60,120
AIRPORT_209,60,60,60,120
AIRPORT_277,60,60,60,120
AIRPORT_166,60,60,60,120
AIRPORT_204,60,60,60,120
AIRPORT_187,60,60,60,120
AIRPORT_241,60,60,60,120
AIRPORT_17,60,60,60,120
AIRPORT_83,60,60,60,120
AIRPORT_25,60,60,60,120
AIRPORT_233,60,60,60,120
AIRPORT_251,60,60,60,120
AIRPORT_70,60,60,60,120
AIRPORT_240,60,60,60,120
AIRPORT_275,60,60,60,120
AIRPORT_160,60,60,60,120
AIRPORT_156,60,60,60,120
AIRPORT_10,60,60,60,120
AIRPORT_29,60,60,60,120
AIRPORT_51,60,60,60,120
AIRPORT_211,60,60,60,120
AIRPORT_216,60,60,60,120
AIRPORT_151,60,60,60,120
AIRPORT_37,60,60,60,120
AIRPORT_60,60,60,60,120
AIRPORT_109,60,60,60,120
AIRPORT_66,60,60,60,120
AIRPORT_169,60,60,60,120
AIRPORT_276,60,60,60,120
AIRPORT_155,60,60,60,120
AIRPORT_124,60,60,60,120
AIRPORT_178,60,60,60,120
AIRPORT_260,60,60,60,120
AIRPORT_185,60,60,60,120
AIRPORT_27,60,60,60,120
AIRPORT_272,60,60,60,120
AIRPORT_53,60,60,60,120
AIRPORT_42,60,60,60,120
AIRPORT_270,60,60,60,120
AIRPORT_139,60,60,60,120
AIRPORT_271,60,60,60,120
AIRPORT_110,60,60,60,120
AIRPORT_102,60,60,60,120
AIRPORT_118,60,60,60,120
AIRPORT_58,60,60,60,120
AIRPORT_61,60,60,60,120
AIRPORT_100,60,60,60,120
AIRPORT_226,60,60,60,120
AIRPORT_181,60,60,60,120
AIRPORT_217,60,60,60,120
AIRPORT_74,60,60,60,120
AIRPORT_234,60,60,60,120
AIRPORT_237,60,60,60,120
AIRPORT_239,60,60,60,120
AIRPORT_33,60,60,60,120
AIRPORT_32,60,60,60,120
AIRPORT_113,60,60,60,120
AIRPORT_43,60,60,60,120
AIRPORT_210,60,60,60,120
AIRPORT_131,60,60,60,120
AIRPORT_157,60,60,60,120
AIRPORT_207,60,60,60,120
AIRPORT_230,60,60,60,120
AIRPORT_18,60,60,60,120
AIRPORT_28,60,60,60,120
AIRPORT_52,60,60,60,120
AIRPORT_264,60,60,60,120
AIRPORT_21,60,60,60,120
AIRPORT_183,60,60,60,120
AIRPORT_5,60,60,60,120
AIRPORT_76,60,60,60,120
AIRPORT_36,60,60,60,120
AIRPORT_245,60,60,60,120
AIRPORT_206,50,60,60,75
AIRPORT_47,40,45,45,65
AIRPORT_77,40,45,45,65
AIRPORT_62,40,45,45,65
AIRPORT_101,40,45,45,65
AIRPORT_105,45,50,50,70
AIRPORT_111,40,45,45,65
AIRPORT_168,40,45,45,65
AIRPORT_199,40,45,45,65
AIRPORT_24,40,45,45,65
AIRPORT_232,40,45,45,65
AIRPORT_265,40,45,45,65
AIRPORT_263,50,60,60,75
AIRPORT_254,40,45,45,65
AIRPORT_282,40,45,45,65
AIRPORT_112,40,45,45,65
AIRPORT_296,40,45,45,65
AIRPORT_268,45,50,50,70
