ID,date,flight,port1,port2,time1,time2,cID,ctype,pas,seats,wt
102388159,2018-02-28  00:00:00,3U8953,AIRPORT_107,AIRPORT_44,2018-02-28  08:17:00,2018-02-28  09:43:00,AC_127,TYPE_B,149,164,5
102372987,2018-02-28  00:00:00,3U8799,AIRPORT_247,AIRPORT_258,2018-02-28  08:17:00,2018-02-28  11:11:00,AC_130,TYPE_C,187,189,1
102329578,2018-02-28  00:00:00,3U8621,AIRPORT_150,AIRPORT_132,2018-02-28  08:43:00,2018-02-28  09:28:00,AC_96,TYPE_B,117,164,1
102397529,2018-02-28  00:00:00,3U8636,AIRPORT_132,AIRPORT_150,2018-02-28  08:44:00,2018-02-28  09:31:00,AC_23,TYPE_B,113,164,1
102318232,2018-02-28  00:00:00,3U8517,AIRPORT_119,AIRPORT_106,2018-02-28  08:52:00,2018-02-28  11:39:00,AC_24,TYPE_C,189,194,1
102326330,2018-02-28  00:00:00,3U8574,AIRPORT_132,AIRPORT_57,2018-02-28  08:52:00,2018-02-28  10:17:00,AC_123,TYPE_B,161,164,1
102379157,2018-02-28  00:00:00,3U8877,AIRPORT_126,AIRPORT_119,2018-02-28  08:58:00,2018-02-28  11:26:00,AC_113,TYPE_B,144,164,1
102335019,2018-02-28  00:00:00,3U8709,AIRPORT_150,AIRPORT_276,2018-02-28  09:09:00,2018-02-28  10:22:00,AC_7,TYPE_B,146,164,1
102396478,2018-02-28  00:00:00,3U8901,AIRPORT_269,AIRPORT_292,2018-02-28  09:14:00,2018-02-28  11:25:00,AC_56,TYPE_A,118,132,1
102337159,2018-02-28  00:00:00,3U8219,AIRPORT_283,AIRPORT_117,2018-02-28  09:16:00,2018-02-28  10:05:00,AC_78,TYPE_A,100,132,1
102364414,2018-02-28  00:00:00,3U8817,AIRPORT_167,AIRPORT_171,2018-02-28  09:17:00,2018-02-28  11:08:00,AC_63,TYPE_A,127,132,1
102381580,2018-02-28  00:00:00,3U8899,AIRPORT_159,AIRPORT_126,2018-02-28  09:19:00,2018-02-28  11:39:00,AC_9,TYPE_B,153,164,1
102392939,2018-02-28  00:00:00,3U8996,AIRPORT_106,AIRPORT_57,2018-02-28  09:20:00,2018-02-28  11:28:00,AC_112,TYPE_C,171,194,1
102357586,2018-02-28  00:00:00,3U8317,AIRPORT_44,AIRPORT_303,2018-02-28  09:20:00,2018-02-28  11:31:00,AC_89,TYPE_C,164,194,1
102319210,2018-02-28  00:00:00,3U8529,AIRPORT_107,AIRPORT_150,2018-02-28  09:22:00,2018-02-28  12:07:00,AC_143,TYPE_B,140,164,5
102359903,2018-02-28  00:00:00,3U8860,AIRPORT_199,AIRPORT_119,2018-02-28  09:22:00,2018-02-28  10:36:00,AC_11,TYPE_B,116,164,1
102320346,2018-02-28  00:00:00,3U8556,AIRPORT_174,AIRPORT_57,2018-02-28  09:24:00,2018-02-28  12:00:00,AC_160,TYPE_C,153,194,1
102317858,2018-02-28  00:00:00,3U8511,AIRPORT_295,AIRPORT_247,2018-02-28  09:27:00,2018-02-28  11:32:00,AC_85,TYPE_A,114,132,1
